domain,tld,ml_probability,y_true,ai_pred,ai_confidence,ai_risk_level,ctx_risk_score,is_ml_paradox,ai_risk_factors,ai_reasoning,correct
aemvx.cn,cn,0.06086601,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox']","The domain 'aemvx.cn' has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.06) is very low, and the certificate is a free CA with no organization (free_ca, no_or",True
kelpai.cn,cn,0.091343254,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox']","The domain kelpai.cn has a dangerous TLD (cn) and is short (6 characters), which are risk factors but not sufficient alone to classify as phishing. The ML score is 0.0913 (very low) and contextual risk score is 0.4475, both below the 0.65 threshold for automatic phishing classification. The certific",True
mws8t1f2.lat,lat,0.27038765,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain mws8t1f2.lat has a dangerous TLD (lat) and shows a random pattern with high entropy (3.0) and no vowels (vowel_ratio:0.0). However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.27) is below 0.50, so it's not a strong signal. The ce",True
ns2bradesc.online,online,0.18931074,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'ns2bradesc.online' has a dangerous TLD ('online') and a DV certificate from Let's Encrypt with no organization information (free_ca, no_org), which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ml_probability (0.189) is ",True
eufarmaciaonline.shop,shop,0.079264246,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'eufarmaciaonline.shop' has a dangerous TLD (shop) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.50, and there are no detected brands. The ml_probability (0.079) is low, and",False
igesz.cn,cn,0.056572687,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'igesz.cn' has a dangerous TLD (cn) and is short (5 characters), but the contextual risk score (0.4475) is below 0.50 and the ML probability (0.0566) is low. The presence of a free CA certificate with no organization (free_ca, no_org) and a DV certificate is noted, but these are mitigated",True
xn--p22b01j27fflmcia.xyz,xyz,0.092249155,0,0,0.75,medium,0.3458333333333333,False,"['mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:no_cert']","The domain 'xn--p22b01j27fflmcia.xyz' has a dangerous TLD (xyz) and shows a random pattern with low vowel ratio (0.1) and high entropy (3.88), but the contextual risk score (0.346) is below 0.50 and the ML probability (0.092) is below 0.25. The absence of brand detection and valid certificate (no_ce",True
einoq.cn,cn,0.14935926,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain einoq.cn has a dangerous TLD (cn) and is short (5 characters), but the ML score is 0.149 (very low) and the contextual risk score is 0.4475, which is below the 0.65 threshold for automatic phishing detection. The tool signals show no brand detection, a free CA certificate (Let's Encrypt) ",True
mengqin.xyz,xyz,0.10494914,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'mengqin.xyz' has a dangerous TLD (xyz) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.436) is below 0.65, and there are no detected brands. The ML probability (0.105) is low, and the domain does not exhibit a ran",False
lapsang.cn,cn,0.10657252,0,0,0.75,medium,0.3061666666666667,False,"['mitigated:dangerous_tld', 'mitigated:no_org']","The domain lapsang.cn has a dangerous TLD (cn) and a low ML probability (0.106), but the contextual risk score (0.306) is below the 0.65 threshold for automatic phishing detection. The domain shows a moderate risk score (0.25) due to the dangerous TLD, but there are no brand elements detected. The c",True
izykdq.top,top,0.20983842,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'izykdq.top' has a dangerous TLD ('.top') and shows signs of being a short, random pattern with low vowel ratio (0.17). However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.2098) is below 0.25, and the precheck summary indicates a",True
smbc-cardone.icu,icu,0.26520562,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain smbc-cardone.icu has a dangerous TLD (icu) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.265",True
asrefem.top,top,0.26998627,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox_medium']","The domain 'asrefem.top' has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.42) is below 0.50, and there are no detected brands. The ml_probability (0.269) is below 0.25? Wait, no",True
lvaib.cn,cn,0.19800875,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short']","The domain lvaib.cn has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.198) is below 0.25, and the TLD category is dangerous but not a sufficient signal alone.",True
